,sector,Year,FDI(million $)
995,HOSPITAL & DIAGNOSTIC CENTRES,2015,742.35
996,EDUCATION,2015,230.78
997,HOTEL & TOURISM,2015,1332.69
998,TRADING,2015,3845.32
999,RETAIL TRADING,2015,262.24
1000,AGRICULTURE SERVICES,2015,84.65
1001,"DIAMOND,GOLD ORNAMENTS",2015,58.54
1002,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2015,1.12
1003,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2015,122.81
1004,COIR,2015,0.0
1005,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2015,4510.71
1006,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2015,112.55
1007,MISCELLANEOUS INDUSTRIES,2015,668.77
1008,METALLURGICAL INDUSTRIES,2016,1440.18
1009,MINING,2016,55.75
1010,POWER,2016,1112.98
1011,NON-CONVENTIONAL ENERGY,2016,783.57
1012,COAL PRODUCTION,2016,0.0
1013,PETROLEUM & NATURAL GAS,2016,180.4
1014,BOILERS AND STEAM GENERATING PLANTS,2016,53.91
1015,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2016,286.88
1016,ELECTRICAL EQUIPMENTS,2016,2230.69
1017,COMPUTER SOFTWARE & HARDWARE,2016,3651.71
1018,ELECTRONICS,2016,83.97
1019,TELECOMMUNICATIONS,2016,5563.69
1020,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2016,1516.68
1021,AUTOMOBILE INDUSTRY,2016,1609.32
1022,AIR TRANSPORT (INCLUDING AIR FREIGHT),2016,83.4
1023,SEA TRANSPORT,2016,735.06
1024,PORTS,2016,0.0
1025,RAILWAY RELATED COMPONENTS,2016,87.57
1026,INDUSTRIAL MACHINERY,2016,329.3
1027,MACHINE TOOLS,2016,23.89
1028,AGRICULTURAL MACHINERY,2016,15.19
1029,EARTH-MOVING MACHINERY,2016,52.23
1030,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2016,245.24
1031,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2016,7.44
1032,MEDICAL AND SURGICAL APPLIANCES,2016,479.71
1033,INDUSTRIAL INSTRUMENTS,2016,0.8
1034,SCIENTIFIC INSTRUMENTS,2016,76.66
1035,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2016,0.0
1036,FERTILIZERS,2016,0.89
1037,CHEMICALS (OTHER THAN FERTILIZERS),2016,1392.8
1038,PHOTOGRAPHIC RAW FILM AND PAPER,2016,0.0
1039,DYE-STUFFS,2016,10.7
1040,DRUGS & PHARMACEUTICALS,2016,857.39
1041,"TEXTILES (INCLUDING DYED,PRINTED)",2016,618.95
1042,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2016,197.61
1043,SUGAR,2016,15.92
1044,FERMENTATION INDUSTRIES,2016,110.86
1045,FOOD PROCESSING INDUSTRIES,2016,727.22
1046,VEGETABLE OILS AND VANASPATI,2016,108.45
1047,"SOAPS, COSMETICS & TOILET PREPARATIONS",2016,92.6
1048,RUBBER GOODS,2016,262.76
1049,"LEATHER,LEATHER GOODS AND PICKERS",2016,2.3
1050,GLUE AND GELATIN,2016,90.6
1051,GLASS,2016,51.69
1052,CERAMICS,2016,15.4
1053,CEMENT AND GYPSUM PRODUCTS,2016,2130.1
1054,TIMBER PRODUCTS,2016,10.23
1055,DEFENCE INDUSTRIES,2016,0.0
1056,CONSULTANCY SERVICES,2016,261.14
1057,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2016,8684.07
1058,HOSPITAL & DIAGNOSTIC CENTRES,2016,747.38
1059,EDUCATION,2016,160.12
1060,HOTEL & TOURISM,2016,916.13
1061,TRADING,2016,2338.4
1062,RETAIL TRADING,2016,450.94
1063,AGRICULTURE SERVICES,2016,76.43
1064,"DIAMOND,GOLD ORNAMENTS",2016,123.92
1065,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2016,1.6
1066,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2016,53.17
1067,COIR,2016,0.0
1068,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2016,1860.73
1069,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2016,105.14
1070,MISCELLANEOUS INDUSTRIES,2016,296.4
