,sector,Year,FDI(million $)
264,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2004,9.85
265,AUTOMOBILE INDUSTRY,2004,121.97
266,AIR TRANSPORT (INCLUDING AIR FREIGHT),2004,4.11
267,SEA TRANSPORT,2004,36.95
268,PORTS,2004,13.04
269,RAILWAY RELATED COMPONENTS,2004,10.75
270,INDUSTRIAL MACHINERY,2004,8.89
271,MACHINE TOOLS,2004,11.04
272,AGRICULTURAL MACHINERY,2004,0.0
273,EARTH-MOVING MACHINERY,2004,0.1
274,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2004,12.83
275,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2004,14.13
276,MEDICAL AND SURGICAL APPLIANCES,2004,5.35
277,INDUSTRIAL INSTRUMENTS,2004,1.08
278,SCIENTIFIC INSTRUMENTS,2004,0.03
279,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2004,0.0
280,FERTILIZERS,2004,13.46
281,CHEMICALS (OTHER THAN FERTILIZERS),2004,69.39
282,PHOTOGRAPHIC RAW FILM AND PAPER,2004,6.16
283,DYE-STUFFS,2004,1.18
284,DRUGS & PHARMACEUTICALS,2004,293.36
285,"TEXTILES (INCLUDING DYED,PRINTED)",2004,43.04
286,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2004,2.7
287,SUGAR,2004,2.94
288,FERMENTATION INDUSTRIES,2004,139.0
289,FOOD PROCESSING INDUSTRIES,2004,43.98
290,VEGETABLE OILS AND VANASPATI,2004,9.09
291,"SOAPS, COSMETICS & TOILET PREPARATIONS",2004,0.89
292,RUBBER GOODS,2004,40.06
293,"LEATHER,LEATHER GOODS AND PICKERS",2004,0.44
294,GLUE AND GELATIN,2004,0.0
295,GLASS,2004,8.36
296,CERAMICS,2004,26.79
297,CEMENT AND GYPSUM PRODUCTS,2004,0.16
298,TIMBER PRODUCTS,2004,0.07
299,DEFENCE INDUSTRIES,2004,0.05
300,CONSULTANCY SERVICES,2004,252.42
301,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2004,456.15
302,HOSPITAL & DIAGNOSTIC CENTRES,2004,26.19
303,EDUCATION,2004,1.97
304,HOTEL & TOURISM,2004,37.01
305,TRADING,2004,14.22
306,RETAIL TRADING,2004,0.0
307,AGRICULTURE SERVICES,2004,3.83
308,"DIAMOND,GOLD ORNAMENTS",2004,8.58
309,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2004,0.01
310,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2004,0.06
311,COIR,2004,0.47
312,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2004,0.0
313,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2004,152.06
314,MISCELLANEOUS INDUSTRIES,2004,121.83
315,METALLURGICAL INDUSTRIES,2005,149.13
316,MINING,2005,7.4
317,POWER,2005,72.69
318,NON-CONVENTIONAL ENERGY,2005,1.35
319,COAL PRODUCTION,2005,9.14
320,PETROLEUM & NATURAL GAS,2005,12.09
321,BOILERS AND STEAM GENERATING PLANTS,2005,0.0
322,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2005,0.74
323,ELECTRICAL EQUIPMENTS,2005,39.5
324,COMPUTER SOFTWARE & HARDWARE,2005,1359.97
325,ELECTRONICS,2005,40.91
326,TELECOMMUNICATIONS,2005,617.98
327,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2005,55.93
328,AUTOMOBILE INDUSTRY,2005,139.93
329,AIR TRANSPORT (INCLUDING AIR FREIGHT),2005,10.27
330,SEA TRANSPORT,2005,53.63
331,PORTS,2005,0.5
332,RAILWAY RELATED COMPONENTS,2005,22.62
333,INDUSTRIAL MACHINERY,2005,42.8
334,MACHINE TOOLS,2005,23.0
335,AGRICULTURAL MACHINERY,2005,92.71
336,EARTH-MOVING MACHINERY,2005,50.87
337,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2005,51.22
338,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2005,25.54
339,MEDICAL AND SURGICAL APPLIANCES,2005,1.52
340,INDUSTRIAL INSTRUMENTS,2005,0.38
341,SCIENTIFIC INSTRUMENTS,2005,0.1
342,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2005,0.0
343,FERTILIZERS,2005,4.24
344,CHEMICALS (OTHER THAN FERTILIZERS),2005,387.72
345,PHOTOGRAPHIC RAW FILM AND PAPER,2005,0.0
346,DYE-STUFFS,2005,0.0
347,DRUGS & PHARMACEUTICALS,2005,172.44
348,"TEXTILES (INCLUDING DYED,PRINTED)",2005,94.33
349,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2005,27.38
350,SUGAR,2005,3.0
351,FERMENTATION INDUSTRIES,2005,169.83
352,FOOD PROCESSING INDUSTRIES,2005,41.74
353,VEGETABLE OILS AND VANASPATI,2005,12.31
354,"SOAPS, COSMETICS & TOILET PREPARATIONS",2005,87.42
355,RUBBER GOODS,2005,34.09
356,"LEATHER,LEATHER GOODS AND PICKERS",2005,1.11
357,GLUE AND GELATIN,2005,0.0
358,GLASS,2005,0.81
359,CERAMICS,2005,5.67
360,CEMENT AND GYPSUM PRODUCTS,2005,452.08
361,TIMBER PRODUCTS,2005,0.33
362,DEFENCE INDUSTRIES,2005,0.0
363,CONSULTANCY SERVICES,2005,47.4
364,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2005,548.61
365,HOSPITAL & DIAGNOSTIC CENTRES,2005,32.53
366,EDUCATION,2005,3.16
367,HOTEL & TOURISM,2005,71.78
368,TRADING,2005,28.93
369,RETAIL TRADING,2005,0.0
370,AGRICULTURE SERVICES,2005,9.08
371,"DIAMOND,GOLD ORNAMENTS",2005,15.52
372,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2005,1.43
373,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2005,9.9
374,COIR,2005,0.59
375,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2005,0.93
376,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2005,228.71
377,MISCELLANEOUS INDUSTRIES,2005,164.76
378,METALLURGICAL INDUSTRIES,2006,169.94
379,MINING,2006,6.62
380,POWER,2006,157.15
381,NON-CONVENTIONAL ENERGY,2006,2.44
382,COAL PRODUCTION,2006,1.3
383,PETROLEUM & NATURAL GAS,2006,87.71
384,BOILERS AND STEAM GENERATING PLANTS,2006,3.31
385,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2006,25.57
386,ELECTRICAL EQUIPMENTS,2006,76.85
387,COMPUTER SOFTWARE & HARDWARE,2006,2613.33
388,ELECTRONICS,2006,42.14
389,TELECOMMUNICATIONS,2006,476.51
390,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2006,75.7
391,AUTOMOBILE INDUSTRY,2006,260.72
392,AIR TRANSPORT (INCLUDING AIR FREIGHT),2006,62.29
393,SEA TRANSPORT,2006,72.52
394,PORTS,2006,0.0
395,RAILWAY RELATED COMPONENTS,2006,25.82
396,INDUSTRIAL MACHINERY,2006,25.96
397,MACHINE TOOLS,2006,37.28
398,AGRICULTURAL MACHINERY,2006,25.19
399,EARTH-MOVING MACHINERY,2006,0.99
400,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2006,84.44
401,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2006,5.42
402,MEDICAL AND SURGICAL APPLIANCES,2006,13.43
403,INDUSTRIAL INSTRUMENTS,2006,0.0
404,SCIENTIFIC INSTRUMENTS,2006,0.07
405,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2006,0.0
406,FERTILIZERS,2006,5.01
407,CHEMICALS (OTHER THAN FERTILIZERS),2006,138.85
408,PHOTOGRAPHIC RAW FILM AND PAPER,2006,2.81
409,DYE-STUFFS,2006,0.0
410,DRUGS & PHARMACEUTICALS,2006,224.2
411,"TEXTILES (INCLUDING DYED,PRINTED)",2006,126.9
412,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2006,5.08
413,SUGAR,2006,9.85
414,FERMENTATION INDUSTRIES,2006,27.58
415,FOOD PROCESSING INDUSTRIES,2006,102.0
416,VEGETABLE OILS AND VANASPATI,2006,16.22
417,"SOAPS, COSMETICS & TOILET PREPARATIONS",2006,6.04
418,RUBBER GOODS,2006,18.75
419,"LEATHER,LEATHER GOODS AND PICKERS",2006,8.26
420,GLUE AND GELATIN,2006,0.0
421,GLASS,2006,1.43
422,CERAMICS,2006,122.23
423,CEMENT AND GYPSUM PRODUCTS,2006,242.47
424,TIMBER PRODUCTS,2006,0.0
425,DEFENCE INDUSTRIES,2006,0.0
426,CONSULTANCY SERVICES,2006,114.68
427,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2006,4713.78
428,HOSPITAL & DIAGNOSTIC CENTRES,2006,38.14
429,EDUCATION,2006,41.81
430,HOTEL & TOURISM,2006,195.66
431,TRADING,2006,114.65
432,RETAIL TRADING,2006,0.0
433,AGRICULTURE SERVICES,2006,12.53
434,"DIAMOND,GOLD ORNAMENTS",2006,61.97
435,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2006,6.2
436,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2006,20.04
437,COIR,2006,0.04
438,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2006,64.06
439,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2006,1392.95
440,MISCELLANEOUS INDUSTRIES,2006,304.87
441,METALLURGICAL INDUSTRIES,2007,1175.75
442,MINING,2007,444.36
443,POWER,2007,988.68
444,NON-CONVENTIONAL ENERGY,2007,58.82
445,COAL PRODUCTION,2007,14.08
446,PETROLEUM & NATURAL GAS,2007,1405.04
447,BOILERS AND STEAM GENERATING PLANTS,2007,1.51
448,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2007,40.53
449,ELECTRICAL EQUIPMENTS,2007,653.74
450,COMPUTER SOFTWARE & HARDWARE,2007,1382.25
451,ELECTRONICS,2007,136.03
452,TELECOMMUNICATIONS,2007,1260.7
453,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2007,288.49
454,AUTOMOBILE INDUSTRY,2007,656.1
455,AIR TRANSPORT (INCLUDING AIR FREIGHT),2007,99.08
456,SEA TRANSPORT,2007,128.36
457,PORTS,2007,918.18
458,RAILWAY RELATED COMPONENTS,2007,12.41
459,INDUSTRIAL MACHINERY,2007,119.57
460,MACHINE TOOLS,2007,56.87
461,AGRICULTURAL MACHINERY,2007,6.72
462,EARTH-MOVING MACHINERY,2007,67.94
463,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2007,211.15
464,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2007,9.83
465,MEDICAL AND SURGICAL APPLIANCES,2007,13.17
466,INDUSTRIAL INSTRUMENTS,2007,2.23
467,SCIENTIFIC INSTRUMENTS,2007,0.0
468,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2007,1.27
469,FERTILIZERS,2007,1.95
470,CHEMICALS (OTHER THAN FERTILIZERS),2007,233.7
471,PHOTOGRAPHIC RAW FILM AND PAPER,2007,54.86
472,DYE-STUFFS,2007,5.51
473,DRUGS & PHARMACEUTICALS,2007,340.35
474,"TEXTILES (INCLUDING DYED,PRINTED)",2007,185.4
475,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2007,31.24
476,SUGAR,2007,10.07
477,FERMENTATION INDUSTRIES,2007,270.05
478,FOOD PROCESSING INDUSTRIES,2007,70.17
479,VEGETABLE OILS AND VANASPATI,2007,1.53
480,"SOAPS, COSMETICS & TOILET PREPARATIONS",2007,6.38
481,RUBBER GOODS,2007,15.12
482,"LEATHER,LEATHER GOODS AND PICKERS",2007,7.46
483,GLUE AND GELATIN,2007,2.28
484,GLASS,2007,11.04
485,CERAMICS,2007,115.11
486,CEMENT AND GYPSUM PRODUCTS,2007,16.89
487,TIMBER PRODUCTS,2007,0.39
488,DEFENCE INDUSTRIES,2007,0.0
489,CONSULTANCY SERVICES,2007,233.32
490,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2007,6986.17
491,HOSPITAL & DIAGNOSTIC CENTRES,2007,241.76
492,EDUCATION,2007,43.59
493,HOTEL & TOURISM,2007,421.47
494,TRADING,2007,345.02
495,RETAIL TRADING,2007,1.27
496,AGRICULTURE SERVICES,2007,58.13
497,"DIAMOND,GOLD ORNAMENTS",2007,59.15
498,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2007,18.94
